,view_count,likes,dislikes,comment_count
7521,1124111,68309,1420,6940
7525,265689,18956,241,1221
7547,1018672,73606,706,1899
7551,4982367,264214,4868,33510
7556,287559,25235,127,2502
7565,222400,7800,253,1428
7619,663622,38200,1483,2504
7651,751469,51513,227,3836
7655,3088146,204824,3852,21983
7669,5919968,285250,3397,22794
7671,384334,20124,386,5752
7686,155816,5287,275,2053
7687,942093,28160,248,2706
7688,498757,29957,269,4566
7700,900448,39400,1273,5339
7718,703610,42615,530,5312
7737,1300180,79957,887,8635
7746,1132331,55790,571,2448
7750,1150174,69174,1445,7022
7757,277079,19463,246,1246
7773,1032804,74171,708,1911
7780,5055451,266809,4908,34039
7784,293992,25787,130,2563
7794,232275,7925,256,1451
7860,6948406,258706,5200,18667
7867,235670,4906,237,1083
7870,1226540,15267,1151,1910
7872,595251,49879,842,4410
7876,1695846,34625,294,3412
7881,980885,63826,271,4494
7884,3473105,225271,4223,23655
7897,6396208,296214,3590,23131
7903,452981,22119,450,6218
7917,157424,5312,276,2065
7930,967307,40505,1313,5457
7959,714199,42887,538,5353
7963,518178,30492,277,4604
7965,1343998,81363,900,8840
7972,1302236,60851,632,2585
7982,1176293,69979,1470,7117
7986,286337,19911,249,1267
8008,4151636,277982,5684,24993
8016,572219,57309,370,5927
8029,178829,14602,84,453
8039,1367360,41794,1398,1079
8053,313405,10580,236,1895
8097,1904505,46007,428,4435
8098,464756,58054,430,2576
8103,847869,41625,1673,2731
8110,359936,17823,124,529
8115,8582065,522084,12513,31278
8142,7915834,291293,5774,20443
8144,2335996,37299,313,3778
8150,289076,5789,291,1189
8155,1229518,15289,1151,1922
8156,626676,51273,871,4526
8163,1369466,87904,358,5565
8167,3827674,246028,4598,25263
8182,6765394,304020,3740,23378
8187,512030,23659,499,6598
8211,3175544,310899,2809,28188
8236,4847660,306818,6570,26838
8239,379464,41288,380,1069
8246,831639,68827,532,6838
8247,771022,64509,657,1710
8260,108407,4958,287,3633
8262,226763,16656,119,488
8263,2333287,61173,2214,1529
8288,352263,11205,256,2030
8300,112300,4479,153,3108
8320,2435366,48563,467,4843
8330,540894,62156,482,2711
8339,420230,18814,139,547
8341,880126,42286,1705,2773
8351,9146010,537629,12821,31845
8364,2864655,38772,333,3970
8371,8517379,312335,6212,21622
8382,340516,6560,340,1305
8390,652039,52441,899,4621
8392,1231460,15297,1151,1924
8393,1858829,115537,475,6810
8397,4117764,263443,4882,26679
8405,539850,28046,588,3669
8410,5758598,407389,4683,34130
8428,535638,101204,646,28587
8431,556091,16997,3361,4743
8434,208949,8537,129,1216
8463,479028,48058,439,1172
8464,5130227,318855,6871,27685
8473,234680,27950,244,2693
8478,965092,71371,832,1809
8482,888047,71123,553,7014
8494,2998071,74252,2711,1835
8495,445655,32413,1381,4320
8499,241481,17400,122,503
8520,115400,5152,314,3734
8525,376297,11492,268,2042
8540,118830,4608,157,3216
8555,2892742,50405,488,5096
8562,593617,64695,532,2795
8571,470065,19555,147,558
8583,914867,43643,1784,2868
8589,9636862,547540,13070,32277
8598,3050372,39689,344,4111
8618,2108444,163074,1543,7466
8627,1780621,72649,2082,7047
8629,610122,17364,343,2328
8631,7914426,514714,5530,29693
8639,7429816,453694,5781,36176
8664,697555,21270,3802,5364
8670,689443,117031,819,31378
8675,269259,9508,147,1337
8703,506528,49717,452,1210
8706,5371402,328608,7231,28479
8712,268627,29866,269,2926
8717,1047535,75706,904,1839
8724,920456,72380,578,7127
8728,3968495,91735,3303,2188
8734,504466,34149,1534,4477
8763,251484,17815,126,511
8768,393314,11666,280,2080
8770,117114,5185,321,3765
8783,120499,4656,161,3250
8799,3529664,52071,514,5319
8810,571449,36186,802,1680
8841,3759910,119757,3755,11313
8845,9660880,576767,6501,32195
8848,2339693,172790,1651,7741
8850,289494,0,0,0
8863,769211,18722,392,2531
8865,308803,11511,443,1516
8877,8404943,484646,6368,37831
8883,789786,30813,729,4195
8917,254220,38969,205,1804
8920,1081458,24394,4102,5804
8926,757898,124999,873,32705
8933,298873,9873,158,1377
8957,530929,51418,475,1244
8960,5644999,340375,7582,29333
8965,292056,31124,291,3067
8971,1093841,77519,928,1853
8973,5181309,113066,3964,2518
8979,940252,73074,590,7201
8989,518110,34472,1554,4512
9031,804627,43395,1032,1892
9032,617579,68304,948,9735
9046,6450001,174984,5852,16448
9049,11161912,617273,7269,33734
9056,177186,31284,112,2654
9069,376833,0,0,0
9074,2446176,176965,1700,7851
9085,368915,12659,485,1614
9091,860335,19144,401,2663
9095,9244061,508069,6811,39055
9101,816563,31140,735,4254
9139,296013,42269,223,1921
9144,1484587,27038,4317,6236
9151,790286,128246,898,33366
9160,313781,10059,164,1407
9178,547556,52399,493,1267
9179,5898725,351426,7949,30107
9182,310173,32048,296,3149
9186,6556318,135264,4764,2805
9191,1118491,78791,942,1872
9199,959555,73752,599,7265
9205,1624678,42789,1652,1753
9228,2305066,207681,1270,30822
9231,1741488,105248,2329,9919
9255,959524,87118,1349,11581
9256,916336,47011,1137,1999
9284,9735891,230024,8324,20804
9297,12553600,651524,7880,34820
9311,210543,34181,133,2793
9321,446288,0,0,0
9325,2512246,179543,1745,7924
9334,398431,13243,512,1693
9341,938403,19471,404,2705
9344,9866804,523885,7143,39371
9356,835192,31435,745,4300
9390,310326,43339,237,1951
9391,1825825,29408,4438,6534
9400,7540416,439232,5816,26267
9407,1789919,183251,1927,38527
9424,2365881,55176,2182,2648
9446,2613657,131667,3215,11862
9448,2824012,224944,1514,33710
9489,1150009,95606,1544,12367
9493,1007559,50584,1186,2090
9515,12016867,268567,10086,23836
9527,13829499,680052,8340,35556
9546,226153,35405,139,2873
9555,480420,0,0,0
9559,2562678,181430,1765,7998
